model_index,model_name,model_human_corr,beta_acc_15_30_45_60_75,model_base_model_name,model_layer_name,model_contourtraining_diet,model_contourtraining_finetune
0,human,0.7856633080741112,[0.93651748 0.85423368 0.64784427 0.49536891 0.45855336],human,human,human,human
1,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_020.pt,0.7460789060229635,[0.9875 0.94   0.7    0.515  0.48  ],alexnet-pytorch_regim_categ,classifier.0,20,True
2,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_028.pt,0.731283040656163,[0.975  0.9725 0.885  0.585  0.5025],alexnet-pytorch_regim_categ,classifier.0,28,True
3,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_022.pt,0.7475892516759616,[0.985  0.95   0.73   0.5125 0.485 ],alexnet-pytorch_regim_categ,classifier.0,22,True
4,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_010.pt,0.6702327201770764,[0.975  0.725  0.5075 0.495  0.5   ],alexnet-pytorch_regim_categ,classifier.0,10,True
5,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_090.pt,-0.3826554715649517,[0.49   0.4975 0.48   0.5225 0.7975],alexnet-pytorch_regim_categ,classifier.0,90,True
6,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_045.pt,0.02721332456162596,[0.7075 0.925  0.98   0.9525 0.625 ],alexnet-pytorch_regim_categ,classifier.0,45,True
7,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_030.pt,0.6865297947784071,[0.9725 0.9725 0.9275 0.6575 0.515 ],alexnet-pytorch_regim_categ,classifier.0,30,True
8,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_075.pt,-0.6251842811734949,[0.4825 0.5025 0.6375 0.905  0.9475],alexnet-pytorch_regim_categ,classifier.0,75,True
9,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_018.pt,0.7243561593567202,[0.99   0.905  0.625  0.4925 0.495 ],alexnet-pytorch_regim_categ,classifier.0,18,True
10,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_006.pt,0.6456804913696699,[0.9525 0.62   0.5    0.5    0.4975],alexnet-pytorch_regim_categ,classifier.0,6,True
11,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_000.pt,0.5845958637089305,[0.905  0.5475 0.5    0.5    0.4975],alexnet-pytorch_regim_categ,classifier.0,0,True
12,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_060.pt,-0.5288322009669294,[0.4875 0.6025 0.935  0.9825 0.885 ],alexnet-pytorch_regim_categ,classifier.0,60,True
13,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_008.pt,0.6506099722523541,[0.96  0.65  0.505 0.5   0.5  ],alexnet-pytorch_regim_categ,classifier.0,8,True
14,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_014.pt,0.7069411846766167,[0.99   0.845  0.5525 0.5    0.4925],alexnet-pytorch_regim_categ,classifier.0,14,True
15,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_012.pt,0.6828864731799495,[0.9825 0.7625 0.5125 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.0,12,True
16,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_016.pt,0.7078889877142115,[0.975  0.8825 0.595  0.505  0.485 ],alexnet-pytorch_regim_categ,classifier.0,16,True
17,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_015.pt,0.7067213206133851,[0.9875 0.8625 0.575  0.5025 0.4925],alexnet-pytorch_regim_categ,classifier.0,15,True
18,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_004.pt,0.6109657687150085,[0.925  0.56   0.5025 0.495  0.495 ],alexnet-pytorch_regim_categ,classifier.0,4,True
19,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_024.pt,0.7362976863981299,[0.9875 0.955  0.8175 0.5375 0.48  ],alexnet-pytorch_regim_categ,classifier.0,24,True
20,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_026.pt,0.7378183686208208,[0.9725 0.955  0.8675 0.57   0.49  ],alexnet-pytorch_regim_categ,classifier.0,26,True
21,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_0/model_alexnet-pytorch-regim-categ_layer_classifier-0_mode_finetune_beta_002.pt,0.6029973960395945,[0.895  0.5525 0.5    0.4975 0.4975],alexnet-pytorch_regim_categ,classifier.0,2,True
22,../model_weights/contour_model_weights/alexnet_regimagenet_categ_finetune_narrow_classifier_1/model_alexnet-pytorch-regim-categ_layer_classifier-1_mode_finetune_beta_015.pt,0.7080371000387687,[0.9825 0.855  0.56   0.495  0.5025],alexnet-pytorch_regim_categ,classifier.1,15,True
